run,host,dev,tx_bytes,rx_bytes
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-82e3,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,edgexpert-82e3,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-82e3,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,edgexpert-82e3,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-82e3,roceP2p1s0f0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,edgexpert-82e3,rocep1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-7afa,rocep1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,rocep1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-8277,roceP2p1s0f0,1069152,6668
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-8277,rocep1s0f0,233124972,26981044
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-82e3,roceP2p1s0f0,6672,1069152
p1_l8_pp2_dual_decode_in128_out1024_c1,edgexpert-82e3,rocep1s0f0,26981048,233124972
p1_l8_pp2_dual_decode_in128_out1024_c32,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c32,edgexpert-7afa,rocep1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,rocep1s0f0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,552401860,3628640
p1_l8_pp2_dual_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,669304584,19643744
