run,collective,nodes,mode,rep,transport,size,time_us,algbw,busbw
nccl_all_reduce_perf_np4_dual_rep2,all_reduce,4,dual,2,IB,1073741824,69711.1,15.4,23.1
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,1024,39.01,0.03,0.04
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,2048,47.76,0.04,0.06
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,4096,53.27,0.08,0.12
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,8192,48.89,0.17,0.25
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,16384,53.88,0.3,0.46
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,32768,53.92,0.61,0.91
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,65536,65.39,1.0,1.5
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,131072,112.03,1.17,1.75
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,262144,168.94,1.55,2.33
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,524288,522.41,1.0,1.51
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,1048576,1159.97,0.9,1.36
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,2097152,1232.63,1.7,2.55
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,4194304,1056.74,3.97,5.95
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,8388608,1145.67,7.32,10.98
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,16777216,1337.17,12.55,18.82
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,33554432,2197.02,15.27,22.91
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,67108864,4383.25,15.31,22.97
nccl_all_reduce_perf_np4_dual_rep3,all_reduce,4,dual,3,IB,134217728,9100.28,14.75,22.12
